机型,realme UI,版本,时间,大小,MD5,下载
真我Q2 Pro,realme UI 1.0,"RMX2173_11.A.19
            ",2020/11/18,3.04GB,0199FBF487770EB5C72E1F3F36A3203C,https://download.c.realme.com/osupdate/RMX2175_11_OTA_0190_all_4Dv3zsrUtg0a.ozip
真我Q2 5G,realme UI 1.0,"RMX2111_11.A.25
            ",2020/12/16,3.06GB,4FC950F01C4F91940E414839FFCF9912,https://download.c.realme.com/osupdate/RMX2111_11_OTA_0250_all_QCL6bnmURQKU.ozip
真我 X7 Pro 5G,realme UI 1.0,"RMX2121_11_A.17
            ",2020/12/20,3.24GB,56A7045E8614D1431739BAA38B63998F,https://download.c.realme.com/osupdate/RMX2121_11_OTA_0170_all_IrbQNx72829t.ozip
真我V3 5G,realme UI 1.0,"RMX2200_11_A.10
            ",2020/9/30,2.99GB,282045F43250F51910F3E50A00616FEB,https://download.c.realme.com/osupdate/RMX2200_11_OTA_0100_all_wiVuAiOr4D5r.ozip
真我  V5 5G,realme UI 1.0,"RMX2111_11.A.22
            ",2020/12/2,3.06GB,1DC5819E7CCB319EE01A7104AC86D1C6,https://download.c.realme.com/osupdate/RMX2111_11_OTA_0220_all_m3JrDuHCd9y2.ozip
真我  X7 5G,realme UI 1.0,"RMX2176_11.A.19
            ",2020/11/18,3.04GB,0199FBF487770EB5C72E1F3F36A3203C,https://download.c.realme.com/osupdate/RMX2175_11_OTA_0190_all_4Dv3zsrUtg0a.ozip
真我 X50 Pro 玩家版,realme UI 1.0,"RMX2071_11.A.25
            ",2020/11/25,3.82GB,662b0a0060eccfa1240d8b252556bde0,https://download.c.realme.com/osupdate/RMX2071_11_OTA_0250_all_KWcKWCjhbYf5.ozip
真我X50m 5G,realme UI 1.0,"RMX2141_11.A.12
            ",2020/11/21,3.75GB,D9AD48800CA26E8D428BD0C8F900A6A8,https://download.c.realme.com/osupdate/RMX2141_11_OTA_0120_all_L63icLa73GBl.ozip
真我X50  Pro 5G,realme UI 1.0,"RMX2071_11.A.25
            ",2020/11/25,3.82GB,662b0a0060eccfa1240d8b252556bde0,https://download.c.realme.com/osupdate/RMX2071_11_OTA_0250_all_KWcKWCjhbYf5.ozip
真我X50 5G,realme UI 1.0,"RMX2051_11.B.19
            ",2020/11/20,3.75GB,018DC23765872BD254D80AF8BFD1D0D0,https://download.c.realme.com/osupdate/RMX2051_11_OTA_0190_all_yCz0jW0kWXHm.ozip
realme X2 Pro,realme UI 1.0,"RMX1931_11.C.32
            ",2020/12/11,3.11GB,ddf845aec7ed7cd0a6ff3507b698d242,https://download.c.realme.com/osupdate/RMX1931_11_OTA_1320_all_aS9hWdxloxXO.ozip
realme X2,realme UI 1.0,"RMX1991_11.C.23
            ",2020/10/31,3.01GB,02A4E7DC424998F2B141F8CEC01F54CF,https://download.c.realme.com/osupdate/RMX1991_11_OTA_1230_all_KpOMv8xayLKp.ozip
realme Q,realme UI 1.0,"RMX1971_11.C.08
            ",2020/11/9,3.18GB,62199264BAC36E9E42F75018466FB56F,https://download.c.realme.com/osupdate/RMX1971_11_OTA_1080_all_QWhxmy8ntglR.ozip
realme X,realme UI 1.0,"RMX1901_11.C.14
            ",2020/11/09,3.18GB,4719CF9623F9BBA41336B535DA945E70,https://download.c.realme.com/osupdate/RMX1901_11_OTA_1140_all_NEjvpjSMXKgb.ozip
realme X青春版,realme UI 1.0,"RMX1851_11.C.08
            ",2020/11/9,3.14GB,81CE245612F3A40C41EDA938FE92788A,https://download.c.realme.com/osupdate/RMX1851_11_OTA_1080_all_6foKLUUzMvb4.ozip
