机型,realme UI,版本,时间,大小,MD5,下载
真我Q2 Pro,realme UI 1.0,"RMX2173_11.A.22
            ",2020/12/31,3.08GB,A13F2E8BFA97CF14195382C180D2670E,https://download.c.realme.com/osupdate/RMX2175_11_OTA_0220_all_q1GWHCosaxcd.ozip
真我Q2 5G,realme UI 1.0,"RMX2111_11.A.27
            ",2021/1/4,3.07GB,1C6CF67651805C926DBA91970057D9E1,https://download.c.realme.com/osupdate/RMX2111_11_OTA_0270_all_BvDO0UMfTIg7.ozip
真我 X7 Pro 5G,realme UI 1.0,"RMX2121_11_A.17
            ",2020/12/20,3.24GB,56A7045E8614D1431739BAA38B63998F,https://download.c.realme.com/osupdate/RMX2121_11_OTA_0170_all_IrbQNx72829t.ozip
真我V3 5G,realme UI 1.0,"RMX2200_11_A.10
            ",2020/9/30,2.99GB,282045F43250F51910F3E50A00616FEB,https://download.c.realme.com/osupdate/RMX2200_11_OTA_0100_all_wiVuAiOr4D5r.ozip
真我  V5 5G,realme UI 1.0,"RMX2111_11.A.24
            ",2020/12/29,3.07GB,744899C51A6F7BA46D39680337328922,https://download.c.realme.com/osupdate/RMX2111_11_OTA_0240_all_HuL4e2QCCj1K.ozip
真我  X7 5G,realme UI 1.0,"RMX2173_11.A.22
            ",2020/12/31,3.08GB,A13F2E8BFA97CF14195382C180D2670E,https://download.c.realme.com/osupdate/RMX2175_11_OTA_0220_all_q1GWHCosaxcd.ozip
真我 X50 Pro 玩家版,realme UI 1.0,"RMX2071_11.A.25
            ",2020/11/25,3.82GB,662b0a0060eccfa1240d8b252556bde0,https://download.c.realme.com/osupdate/RMX2071_11_OTA_0250_all_KWcKWCjhbYf5.ozip
真我X50m 5G,realme UI 1.0,"RMX2141_11.A.12
            ",2020/11/21,3.75GB,D9AD48800CA26E8D428BD0C8F900A6A8,https://download.c.realme.com/osupdate/RMX2141_11_OTA_0120_all_L63icLa73GBl.ozip
真我X50  Pro 5G,realme UI 1.0,"RMX2071_11.A.25
            ",2020/11/25,3.82GB,662b0a0060eccfa1240d8b252556bde0,https://download.c.realme.com/osupdate/RMX2071_11_OTA_0250_all_KWcKWCjhbYf5.ozip
真我X50 5G,realme UI 1.0,"RMX2051_11.B.19
            ",2020/11/20,3.75GB,018DC23765872BD254D80AF8BFD1D0D0,https://download.c.realme.com/osupdate/RMX2051_11_OTA_0190_all_yCz0jW0kWXHm.ozip
realme X2 Pro,realme UI 1.0,"RMX1931_11.C.32
            ",2020/12/11,3.11GB,ddf845aec7ed7cd0a6ff3507b698d242,https://download.c.realme.com/osupdate/RMX1931_11_OTA_1320_all_aS9hWdxloxXO.ozip
realme X2,realme UI 1.0,"RMX1991_11.C.25
            ",2020/12/28,2.99GB,02A4E7DC424998F2B141F8CEC01F54CF,https://download.c.realme.com/osupdate/RMX1991_11_OTA_1250_all_02N5zHcZkloB.ozip
realme Q,realme UI 1.0,"RMX1971_11.C.11
            ",2020/12/27,3.11GB,106B8E9C05B26DBB4D65A14D0BB42A53,https://download.c.realme.com/osupdate/RMX1971_11_OTA_1110_all_8fszKMbxaoVg.ozip
realme X,realme UI 1.0,"RMX1901_11.C.17
            ",2020/12/27,3.11GB,2AF7C5DF6B3CAC2AC372E38F1993B8D6,https://download.c.realme.com/osupdate/RMX1901_11_OTA_1170_all_E0xAxtdGULwW.ozip
realme X青春版,realme UI 1.0,"RMX1851_11.C.11
            ",2020/12/27,3.17GB,488C35A0C372A0A995AC1D44CF8195AF,https://download.c.realme.com/osupdate/RMX1851_11_OTA_1110_all_mvJ20n1zmvS1.ozip
